city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,5
sj,2008,20,5
sj,2008,21,6
sj,2008,22,8
sj,2008,23,7
sj,2008,24,4
sj,2008,25,10
sj,2008,26,10
sj,2008,27,10
sj,2008,28,6
sj,2008,29,8
sj,2008,30,41
sj,2008,31,31
sj,2008,32,22
sj,2008,33,27
sj,2008,34,47
sj,2008,35,74
sj,2008,36,134
sj,2008,37,85
sj,2008,38,137
sj,2008,39,127
sj,2008,40,112
sj,2008,41,114
sj,2008,42,54
sj,2008,43,62
sj,2008,44,37
sj,2008,45,56
sj,2008,46,53
sj,2008,47,61
sj,2008,48,46
sj,2008,49,50
sj,2008,50,39
sj,2008,51,70
sj,2008,52,40
sj,2009,1,48
sj,2009,2,37
sj,2009,3,27
sj,2009,4,19
sj,2009,5,18
sj,2009,6,19
sj,2009,7,7
sj,2009,8,28
sj,2009,9,10
sj,2009,10,18
sj,2009,11,5
sj,2009,12,7
sj,2009,13,13
sj,2009,14,10
sj,2009,15,14
sj,2009,16,10
sj,2009,17,9
sj,2009,18,8
sj,2009,19,16
sj,2009,20,17
sj,2009,21,25
sj,2009,22,12
sj,2009,23,13
sj,2009,24,21
sj,2009,25,11
sj,2009,26,13
sj,2009,27,14
sj,2009,28,8
sj,2009,29,9
sj,2009,30,14
sj,2009,31,14
sj,2009,32,24
sj,2009,33,29
sj,2009,34,25
sj,2009,35,48
sj,2009,36,69
sj,2009,37,104
sj,2009,38,73
sj,2009,39,156
sj,2009,40,87
sj,2009,41,116
sj,2009,42,95
sj,2009,43,98
sj,2009,44,100
sj,2009,45,134
sj,2009,46,173
sj,2009,47,215
sj,2009,48,208
sj,2009,49,177
sj,2009,50,114
sj,2009,51,60
sj,2009,52,30
sj,2010,53,6
sj,2010,1,12
sj,2010,2,14
sj,2010,3,19
sj,2010,4,40
sj,2010,5,29
sj,2010,6,45
sj,2010,7,52
sj,2010,8,48
sj,2010,9,30
sj,2010,10,36
sj,2010,11,25
sj,2010,12,27
sj,2010,13,22
sj,2010,14,3
sj,2010,15,18
sj,2010,16,13
sj,2010,17,8
sj,2010,18,10
sj,2010,19,13
sj,2010,20,13
sj,2010,21,17
sj,2010,22,20
sj,2010,23,26
sj,2010,24,11
sj,2010,25,24
sj,2010,26,31
sj,2010,27,37
sj,2010,28,27
sj,2010,29,32
sj,2010,30,33
sj,2010,31,52
sj,2010,32,33
sj,2010,33,24
sj,2010,34,30
sj,2010,35,42
sj,2010,36,29
sj,2010,37,35
sj,2010,38,36
sj,2010,39,40
sj,2010,40,23
sj,2010,41,52
sj,2010,42,39
sj,2010,43,42
sj,2010,44,25
sj,2010,45,31
sj,2010,46,40
sj,2010,47,29
sj,2010,48,29
sj,2010,49,31
sj,2010,50,31
sj,2010,51,11
sj,2011,52,26
sj,2011,1,10
sj,2011,2,28
sj,2011,3,9
sj,2011,4,12
sj,2011,5,10
sj,2011,6,21
sj,2011,7,10
sj,2011,8,10
